location: (0,9) measurement number:4 | max [V]: 0.01759999990463257 | min [V]: -0.019999999552965164 | RMS [v]: 0.0049393437802791595
location: (0,10) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.018400000408291817 | RMS [v]: 0.005070371553301811
location: (0,10) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.014399999752640724 | RMS [v]: 0.00477595953270793
location: (0,10) measurement number:2 | max [V]: 0.019199999049305916 | min [V]: -0.019199999049305916 | RMS [v]: 0.005280702840536833
location: (0,10) measurement number:3 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004863013047724962
location: (0,10) measurement number:4 | max [V]: 0.018400000408291817 | min [V]: -0.019199999049305916 | RMS [v]: 0.005276962649077177
location: (0,11) measurement number:0 | max [V]: 0.019199999049305916 | min [V]: -0.019999999552965164 | RMS [v]: 0.0059075434692204
location: (0,11) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.015199999324977398 | RMS [v]: 0.005558670032769442
location: (0,11) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.019999999552965164 | RMS [v]: 0.00548739917576313
location: (0,11) measurement number:3 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004960690159350634
location: (0,11) measurement number:4 | max [V]: 0.019199999049305916 | min [V]: -0.01599999889731407 | RMS [v]: 0.004861373919993639
location: (0,12) measurement number:0 | max [V]: 0.019199999049305916 | min [V]: -0.019199999049305916 | RMS [v]: 0.005482060834765434
location: (0,12) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004907137714326382
location: (0,12) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.015199999324977398 | RMS [v]: 0.004495430737733841
location: (0,12) measurement number:3 | max [V]: 0.019199999049305916 | min [V]: -0.024799998849630356 | RMS [v]: 0.005169832147657871
location: (0,12) measurement number:4 | max [V]: 0.01679999940097332 | min [V]: -0.025599999353289604 | RMS [v]: 0.005401131231337786
location: (0,13) measurement number:0 | max [V]: 0.02159999869763851 | min [V]: -0.01599999889731407 | RMS [v]: 0.004798819776624441
location: (0,13) measurement number:1 | max [V]: 0.015199999324977398 | min [V]: -0.015199999324977398 | RMS [v]: 0.005105836782604456
location: (0,13) measurement number:2 | max [V]: 0.014399999752640724 | min [V]: -0.014399999752640724 | RMS [v]: 0.004657140467315912
location: (0,13) measurement number:3 | max [V]: 0.01759999990463257 | min [V]: -0.01759999990463257 | RMS [v]: 0.005389619152992964
location: (0,13) measurement number:4 | max [V]: 0.01759999990463257 | min [V]: -0.01599999889731407 | RMS [v]: 0.004914787132292986
location: (0,14) measurement number:0 | max [V]: 0.019199999049305916 | min [V]: -0.018400000408291817 | RMS [v]: 0.0053755235858261585
location: (0,14) measurement number:1 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.005143576767295599
location: (0,14) measurement number:2 | max [V]: 0.01679999940097332 | min [V]: -0.01599999889731407 | RMS [v]: 0.004601995926350355
location: (0,14) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.019999999552965164 | RMS [v]: 0.004954939242452383
location: (0,14) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.01759999990463257 | RMS [v]: 0.00505867600440979
location: (0,15) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.005047067999839783
location: (0,15) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.018400000408291817 | RMS [v]: 0.005213465541601181
location: (0,15) measurement number:2 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.004573103506118059
location: (0,15) measurement number:3 | max [V]: 0.01759999990463257 | min [V]: -0.015199999324977398 | RMS [v]: 0.004844850394874811
location: (0,15) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.0045867073349654675
location: (0,16) measurement number:0 | max [V]: 0.015199999324977398 | min [V]: -0.020800000056624413 | RMS [v]: 0.005221138242632151
location: (0,16) measurement number:1 | max [V]: 0.015199999324977398 | min [V]: -0.01599999889731407 | RMS [v]: 0.004768073558807373
location: (0,16) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.01679999940097332 | RMS [v]: 0.004880557302385569
location: (0,16) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.004753763787448406
location: (0,16) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.019199999049305916 | RMS [v]: 0.004848264157772064
location: (0,17) measurement number:0 | max [V]: 0.015199999324977398 | min [V]: -0.01759999990463257 | RMS [v]: 0.00453482149168849
location: (0,17) measurement number:1 | max [V]: 0.012799999676644802 | min [V]: -0.01599999889731407 | RMS [v]: 0.004429630935192108
location: (0,17) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.02159999869763851 | RMS [v]: 0.004957140889018774
location: (0,17) measurement number:3 | max [V]: 0.018400000408291817 | min [V]: -0.018400000408291817 | RMS [v]: 0.005075317341834307
location: (0,17) measurement number:4 | max [V]: 0.018400000408291817 | min [V]: -0.019199999049305916 | RMS [v]: 0.005306937266141176
location: (0,18) measurement number:0 | max [V]: 0.018400000408291817 | min [V]: -0.01679999940097332 | RMS [v]: 0.004885957110673189
location: (0,18) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.01759999990463257 | RMS [v]: 0.005360196810215712
location: (0,18) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.01759999990463257 | RMS [v]: 0.005144049413502216
location: (0,18) measurement number:3 | max [V]: 0.015199999324977398 | min [V]: -0.019199999049305916 | RMS [v]: 0.0048004332929849625
location: (0,18) measurement number:4 | max [V]: 0.01679999940097332 | min [V]: -0.019199999049305916 | RMS [v]: 0.004482234828174114
location: (0,19) measurement number:0 | max [V]: 0.019999999552965164 | min [V]: -0.018400000408291817 | RMS [v]: 0.0042265066877007484
location: (0,19) measurement number:1 | max [V]: 0.018400000408291817 | min [V]: -0.01679999940097332 | RMS [v]: 0.004905656911432743
location: (0,19) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.014399999752640724 | RMS [v]: 0.00456838496029377
location: (0,19) measurement number:3 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.0045516835525631905
location: (0,19) measurement number:4 | max [V]: 0.01759999990463257 | min [V]: -0.015199999324977398 | RMS [v]: 0.00438582431524992
location: (0,20) measurement number:0 | max [V]: 0.012799999676644802 | min [V]: -0.01599999889731407 | RMS [v]: 0.0041215685196220875
location: (0,20) measurement number:1 | max [V]: 0.015199999324977398 | min [V]: -0.01759999990463257 | RMS [v]: 0.004950318951159716
location: (0,20) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.015199999324977398 | RMS [v]: 0.004853198304772377
location: (0,20) measurement number:3 | max [V]: 0.015199999324977398 | min [V]: -0.01759999990463257 | RMS [v]: 0.004744121339172125
location: (0,20) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.019999999552965164 | RMS [v]: 0.005165962502360344
location: (0,21) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.018400000408291817 | RMS [v]: 0.004784661810845137
location: (0,21) measurement number:1 | max [V]: 0.019199999049305916 | min [V]: -0.02159999869763851 | RMS [v]: 0.005810748320072889
location: (0,21) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.019999999552965164 | RMS [v]: 0.004942465573549271
location: (0,21) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.004957870580255985
location: (0,21) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004646030254662037
location: (0,22) measurement number:0 | max [V]: 0.019999999552965164 | min [V]: -0.019999999552965164 | RMS [v]: 0.005200806073844433
location: (0,22) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.01759999990463257 | RMS [v]: 0.005189539864659309
location: (0,22) measurement number:2 | max [V]: 0.02159999869763851 | min [V]: -0.01759999990463257 | RMS [v]: 0.005054050125181675
location: (0,22) measurement number:3 | max [V]: 0.01599999889731407 | min [V]: -0.024000000208616257 | RMS [v]: 0.005250358954071999
location: (0,22) measurement number:4 | max [V]: 0.019199999049305916 | min [V]: -0.018400000408291817 | RMS [v]: 0.004860880319029093
location: (0,23) measurement number:0 | max [V]: 0.015199999324977398 | min [V]: -0.018400000408291817 | RMS [v]: 0.005019233096390963
